stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
Ånestadlund,2,121.11343151988154,9022005002975001,9022005002975002
Greby Askeby,2,120.95897006546377,9022005002715001,9022005002715002
Brunnsås,2,120.91727605836661,9022005002720002,9022005002720001
Husby grindar,2,120.54043826383884,9022005002089002,9022005002089001
Stora Rothult,2,120.28946935263585,9022005002356002,9022005002356001
Varby vägskäl,2,120.09313048873707,9022005003162002,9022005003162001
Tornet,2,119.9249793940952,9022005000444002,9022005000444001
S:t Anna,2,119.87340012008156,9022005000169002,9022005000169001
Stiglötsgatan,2,119.04930240992178,9022005000049002,9022005000049001
Vretagymnasiet,2,118.96505271743749,9022005002638001,9022005002638002
Klampenborg,2,118.70252877126548,9022005002949001,9022005002949002
Gustaf Adolfsplan,6,117.8213806999438,9022005081011016,9022005081011002
Stensnäs,2,117.63999494967952,9022005003381002,9022005003381001
Timmergata skola,2,117.43130068739558,9022005001643002,9022005001643001
Karlemåla,2,117.12439024869227,9022005002678002,9022005002678001
Sunds kyrka,2,116.9421955403506,9022005003028002,9022005003028001
Ljusfors station,2,116.59876992738694,9022005001520001,9022005001520002
Bankekinds vägkors,2,116.08937337980382,9022005000268001,9022005000268002
Sörgårdsgatan,2,116.0428740568126,9022005001241002,9022005001241001
Järnstad,2,115.52822245672837,9022005003266002,9022005003266001
Valltorken,2,115.12759730525752,9022005003153002,9022005003153001
Mutebo norrgård,2,114.73008958165195,9022005002668001,9022005002668002
Godegårds festplats,2,114.72272972708444,9022005003925001,9022005003925002
Pilvägen,2,114.7105634638284,9022005001612001,9022005001612002
Parkgatan,2,114.69763385623885,9022005001253002,9022005001253001
Södra allén,2,113.77121317462267,9022005002303002,9022005002303001
Mellantorp,2,113.38892750037044,9022005002081002,9022005002081001
Ekholmens centrum,2,113.28940680798739,9022005000054001,9022005000054002
Åbylund,2,113.2119857411607,9022005001234001,9022005001234002
Högsäter,2,113.0721543747636,9022005001556001,9022005001556002
Västerlösa bygdegård,2,112.57398812621736,9022005002861001,9022005002861002
Västra Lagnöströmmen,2,112.51416890054796,9022005002129002,9022005002129001
Kärna skola,2,112.12380367951008,9022005001453002,9022005001453001
Norra Rothult,2,112.06782655512247,9022005003976002,9022005003976001
Gråhallen,2,111.73575364263962,9022005002640001,9022005002640002
Fivelstad kyrka,2,111.65771590973873,9022005000206002,9022005000206001
Vikingstad skola,2,111.51165862801592,9022005000308001,9022005000308002
Tomtaholmsvägen,2,111.50277614244186,9022005003755001,9022005003755002
Emmaus,2,111.48298637552104,9022005002540001,9022005002540002
Höversby,2,111.20955109718935,9022005002724002,9022005002724001
Bergsätter,2,110.10655106290585,9022005003118001,9022005003118002
Mogata kyrka,2,109.51419471010739,9022005000165002,9022005000165001
Dackestigen,2,109.21249914734364,9022005003962002,9022005003962001
Lotorps skola,2,108.87751707801311,9022005002043002,9022005002043001
