derived_transition_activity,old_trip_id,next_trip_id,old_route_short_name,next_route_short_name,route_short_name_changed,old_direction_id,next_direction_id,time_gap_minutes,old_last_stop_sequence,next_first_stop_sequence,old_last_stop_name,next_first_stop_name,old_last_stop_lat,old_last_stop_lon,transition_distance_m,transition_distance_km,threshold_m
repositioning_pause,tr03_5896,tr03_5897,11,11,False,0,0,53.833333333333336,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5901,tr03_5919,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_5915,tr03_5916,11,11,False,0,0,,13,1,Linköpings resecentrum,Övre Johannelund,58.417441,15.623179,3720.4256282949696,3.7204256282949695,75
repositioning_pause,tr03_6358,tr03_7652,13,21,True,0,0,,25,1,Vårbrisvägen,Landerydsvägen,58.43296,15.70001,3721.286095479811,3.7212860954798113,75
repositioning_pause,tr03_6092,tr03_6376,12,13,True,0,0,,17,1,Linköpings resecentrum,Nedre Johannelund,58.416778,15.624449,3735.0904369825007,3.735090436982501,75
repositioning_pause,tr03_6198,tr03_7217,13,17,True,1,1,,24,1,Nedre Johannelund,Linköpings resecentrum,58.393628,15.670906,3736.1275460692354,3.7361275460692354,75
repositioning_pause,tr03_6209,tr03_7183,13,17,True,1,1,412.5833333333333,24,1,Nedre Johannelund,Linköpings resecentrum,58.393628,15.670906,3736.1275460692354,3.7361275460692354,75
repositioning_pause,tr03_7321,tr03_6251,17,13,True,0,0,119.56666666666666,21,1,Linköpings resecentrum,Nedre Johannelund,58.416697,15.624278,3736.1275460692354,3.7361275460692354,75
repositioning_pause,tr03_5528,tr03_5842,10,11,True,1,0,,17,1,Linköpings resecentrum,Övre Johannelund,58.417834,15.622407,3782.929938062691,3.782929938062691,75
repositioning_pause,tr03_5308,tr03_5923,6,11,True,0,0,67.25,16,1,Linköpings resecentrum,Övre Johannelund,58.417897,15.62239,3788.843875687031,3.788843875687031,75
repositioning_pause,tr03_7430,tr03_7699,18,26,True,1,0,,12,1,Gamla Linköping,Landbogatan,58.407577,15.590507,3794.5742022300533,3.7945742022300535,75
repositioning_pause,tr03_4461,tr03_6498,4,14,True,1,1,,17,1,Landbogatan,Gamla Linköping,58.375255,15.569598,3794.9975274697763,3.7949975274697763,75
repositioning_pause,tr03_10663,tr03_7733,577,249,True,1,1,63.483333333333334,10,1,US Norra entrén,Bygärdesgatan,58.403057,15.622142,3814.786420479185,3.814786420479185,75
repositioning_pause,tr03_1274,tr03_10189,50,526,True,1,1,86.85,26,1,Mjärdevi,US Norra entrén,58.397845,15.556227,3887.969170231817,3.8879691702318167,75
repositioning_pause,tr03_2635,tr03_2879,12,13,True,0,1,,13,1,Söder Tull,Ingelsta,58.585417,16.18828,3892.0398600461062,3.8920398600461064,75
repositioning_pause,tr03_2770,tr03_3052,13,21,True,1,1,,12,1,Trumpetaregatan,Norrköpings resecentrum,58.565674,16.217431,3941.545605589823,3.941545605589823,75
repositioning_pause,tr03_2873,tr03_3054,13,21,True,1,1,,12,1,Trumpetaregatan,Norrköpings resecentrum,58.565674,16.217431,3941.545605589823,3.941545605589823,75
repositioning_pause,tr03_484,tr03_486,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_486,tr03_494,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_489,tr03_580,3,3,False,1,1,61.86666666666667,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_494,tr03_497,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_495,tr03_558,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_496,tr03_612,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_497,tr03_499,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_498,tr03_501,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_499,tr03_563,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_501,tr03_672,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_538,tr03_542,3,3,False,1,1,68.78333333333333,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_556,tr03_611,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_557,tr03_559,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_558,tr03_613,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_559,tr03_560,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_560,tr03_562,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_562,tr03_674,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_563,tr03_659,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
