pair_rank,distance_m,stop_id_a,stop_name_a,stop_id_b,stop_name_b,trip_id,route_id,route_short_name,route_type,direction_id,stop_sequence_a,stop_sequence_b,sequence_relation
64,139.04183949448424,9022005003827001,Sparbanken,9022005004195001,Storgatan 35,55700000083067032,9011005067000000,670,700,1,33,34,A before B
64,139.04183949448424,9022005003827001,Sparbanken,9022005004195001,Storgatan 35,55700000083067078,9011005067000000,670,700,1,33,34,A before B
67,140.75804328309283,9022005081029002,Oranievägen,9022005081030002,Vildapelvägen,55700000083039072,9011005090100000,901,700,0,6,5,B before A
67,140.75804328309283,9022005081029002,Oranievägen,9022005081030002,Vildapelvägen,55700000083039099,9011005090100000,901,700,0,6,5,B before A
70,140.75804328309283,9022005081029001,Oranievägen,9022005081030001,Vildapelvägen,55700000083038996,9011005090100000,901,700,1,11,12,A before B
70,140.75804328309283,9022005081029001,Oranievägen,9022005081030001,Vildapelvägen,55700000083039022,9011005090100000,901,700,1,10,11,A before B
70,140.75804328309283,9022005081029001,Oranievägen,9022005081030001,Vildapelvägen,55700000083039047,9011005090100000,901,700,1,9,10,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494323,9011005030400000,304,700,1,12,13,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494344,9011005030400000,304,700,1,12,13,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494365,9011005030400000,304,700,1,12,13,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494401,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494431,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494461,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494491,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494521,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494551,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494581,9011005030400000,304,700,1,20,21,A before B
75,145.29359958450564,9022005002312001,Charlottenborg C,9022005004134001,"Strandvägen, Charlottenborg",55700000079494611,9011005030400000,304,700,1,20,21,A before B
